"locality","i","j","time","variable","long_name","units","value"
"Greenland",20,28,499.5,"eco2D_Plankton_C_004","C Biomass - Popn. #004 (19.00 micron phytoplankton)","mmol C m^-3",0.234077721834183
"Greenland",20,28,999.5,"eco2D_Plankton_C_004","C Biomass - Popn. #004 (19.00 micron phytoplankton)","mmol C m^-3",0.177110329270363
"Greenland",20,28,1999.5,"eco2D_Plankton_C_004","C Biomass - Popn. #004 (19.00 micron phytoplankton)","mmol C m^-3",0.102021418511868
"Greenland",20,28,4999.5,"eco2D_Plankton_C_004","C Biomass - Popn. #004 (19.00 micron phytoplankton)","mmol C m^-3",0.0997109711170197
"Greenland",20,28,9999.5,"eco2D_Plankton_C_004","C Biomass - Popn. #004 (19.00 micron phytoplankton)","mmol C m^-3",0.099378801882267
"Greenland",20,28,0.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.354991167783737
"Greenland",20,28,1.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.331004470586777
"Greenland",20,28,4.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.318763345479965
"Greenland",20,28,9.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.322218000888824
"Greenland",20,28,19.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.311758875846863
"Greenland",20,28,49.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.310134172439575
"Greenland",20,28,99.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.304419636726379
"Greenland",20,28,199.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.211767107248306
"Greenland",20,28,499.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.138259828090668
"Greenland",20,28,999.5,"eco2D_Plankton_C_005","C Biomass - Popn. #005 (60.00 micron phytoplankton)","mmol C m^-3",0.0769202709197998
