targ_Co,net_id,community,net_name,burnin_time
0.09222320351402782,23,meishan,down_link,5000
0.13346342364026428,29,tibet,down_rand,5000
0.08869017758060528,7,dolomites,down_rand,5000
0.14790019237177113,8,meishan,atn,5000
0.1488020541003991,21,kashmir,down_rand,5000
0.09669891837584839,17,meishan,down_rand,5000
0.11875432402855078,15,turkiye,metaweb,5000
0.12227163347290085,26,greenland,down_rand,5000
0.14134530383157667,6,dolomites,down_link,5000
0.1344119441562362,4,meishan,down_power,5000
0.10015705237626768,18,tibet,down_power,5000
0.1450434217413936,25,tibet,down_niche,5000
0.1488020541003991,21,greenland,down_link,5000
0.09222320351402782,23,meishan,atn,5000
0.1217756359853721,20,turkiye,niche,5000
0.1488020541003991,21,kashmir,niche,5000
0.05820917600388678,13,kashmir,down_niche,5000
0.05359333758391879,10,turkiye,niche,5000
0.11875432402855078,15,greenland,down_rand,5000
0.09631068540997012,28,greenland,down_link,5000
0.1379784657764207,19,kashmir,down_rand,5000
0.10464586405049539,9,greenland,niche,5000
0.1488020541003991,21,turkiye,down_niche,5000
0.10015705237626768,18,meishan,down_rand,5000
0.09631068540997012,28,meishan,down_niche,5000
0.1348638262235657,2,dolomites,niche,5000
0.05820917600388678,13,meishan,down_link,5000
0.12544313803518975,16,turkiye,atn,5000
0.08720157519969579,30,kashmir,down_rand,5000
0.1348638262235657,2,turkiye,niche,5000
0.09669891837584839,17,meishan,niche,5000
0.1217756359853721,20,kashmir,niche,5000
0.12544313803518975,16,meishan,down_power,5000
0.09631068540997012,28,meishan,metaweb,5000
0.1450434217413936,25,turkiye,down_power,5000
0.12227163347290085,26,tibet,niche,5000
0.08869017758060528,7,turkiye,metaweb,5000
0.12544313803518975,16,dolomites,down_power,5000
0.10464586405049539,9,kashmir,down_rand,5000
0.10888507165704364,24,kashmir,atn,5000
0.12544313803518975,16,kashmir,down_rand,5000
0.1001073140058574,1,greenland,down_power,5000
0.12227163347290085,26,greenland,niche,5000
0.09222320351402782,23,turkiye,atn,5000
0.1325730842502795,12,dolomites,niche,5000
0.13346342364026428,29,tibet,down_link,5000
0.1001073140058574,1,meishan,down_rand,5000
0.1344119441562362,4,kashmir,atn,5000
0.1488020541003991,21,dolomites,down_niche,5000
0.1477553764218023,22,dolomites,down_rand,5000
0.1001073140058574,1,kashmir,niche,5000
0.1477553764218023,22,greenland,niche,5000
0.1348638262235657,2,meishan,down_link,5000
0.1488020541003991,21,kashmir,metaweb,5000
0.10888507165704364,24,tibet,metaweb,5000
0.14790019237177113,8,dolomites,down_link,5000
0.10888507165704364,24,tibet,down_niche,5000
0.12227163347290085,26,dolomites,niche,5000
0.10180120395621034,3,kashmir,down_link,5000
0.08869017758060528,7,kashmir,down_rand,5000
0.1450434217413936,25,meishan,down_niche,5000
0.1450434217413936,25,turkiye,down_rand,5000
0.10180120395621034,3,meishan,down_link,5000
0.05359333758391879,10,kashmir,down_power,5000
0.1344119441562362,4,tibet,down_power,5000
0.09222320351402782,23,tibet,down_niche,5000
0.11875432402855078,15,dolomites,down_power,5000
0.09203848841795143,5,meishan,down_niche,5000
0.1001073140058574,1,kashmir,down_rand,5000
0.11875432402855078,15,greenland,atn,5000
0.10015705237626768,18,greenland,down_rand,5000
0.1450434217413936,25,tibet,niche,5000
0.05359333758391879,10,kashmir,niche,5000
0.09222320351402782,23,meishan,down_niche,5000
0.08720157519969579,30,meishan,atn,5000
0.14134530383157667,6,kashmir,down_power,5000
0.1477553764218023,22,meishan,atn,5000
0.1487554453104393,11,greenland,niche,5000
0.10015705237626768,18,meishan,down_power,5000
0.05359333758391879,10,dolomites,atn,5000
0.13346342364026428,29,dolomites,atn,5000
0.1001073140058574,1,dolomites,down_rand,5000
0.10888507165704364,24,tibet,down_link,5000
0.12544313803518975,16,greenland,down_link,5000
0.14790019237177113,8,tibet,metaweb,5000
0.125585399439624,27,meishan,metaweb,5000
0.1217756359853721,20,greenland,down_link,5000
0.08869017758060528,7,meishan,down_link,5000
0.1487554453104393,11,meishan,niche,5000
0.10180120395621034,3,dolomites,down_power,5000
0.05359333758391879,10,dolomites,down_rand,5000
0.1477553764218023,22,turkiye,down_link,5000
0.1001073140058574,1,turkiye,down_power,5000
0.1450434217413936,25,greenland,down_power,5000
0.09203848841795143,5,tibet,down_link,5000
0.125585399439624,27,tibet,down_rand,5000
0.1487554453104393,11,tibet,down_power,5000
0.1488020541003991,21,dolomites,metaweb,5000
0.05359333758391879,10,greenland,down_rand,5000
0.1379784657764207,19,dolomites,down_rand,5000
0.05820917600388678,13,meishan,down_niche,5000
0.12544313803518975,16,meishan,niche,5000
0.1487554453104393,11,meishan,down_rand,5000
0.08720157519969579,30,greenland,down_power,5000
0.14790019237177113,8,turkiye,atn,5000
0.06559894078556319,14,turkiye,down_power,5000
0.10015705237626768,18,dolomites,down_link,5000
0.05820917600388678,13,meishan,niche,5000
0.14134530383157667,6,kashmir,atn,5000
0.1217756359853721,20,tibet,metaweb,5000
0.14790019237177113,8,turkiye,down_power,5000
0.10464586405049539,9,meishan,down_power,5000
0.1379784657764207,19,dolomites,down_niche,5000
0.1001073140058574,1,greenland,niche,5000
0.05359333758391879,10,meishan,niche,5000
0.08869017758060528,7,kashmir,niche,5000
0.11875432402855078,15,tibet,down_link,5000
0.1348638262235657,2,greenland,down_rand,5000
0.1348638262235657,2,turkiye,down_niche,5000
0.1487554453104393,11,kashmir,atn,5000
0.10180120395621034,3,meishan,down_rand,5000
0.1379784657764207,19,turkiye,down_rand,5000
0.1001073140058574,1,kashmir,down_niche,5000
0.1487554453104393,11,dolomites,niche,5000
