spp_id,gen,vul,can,net_id,net_type,community,stage,S4_consumer,S4_resource,S5_consumer,S5_resource
6,4,0,false,1,down_niche,turkiye,creation,6,9,0,22
1,6,0,false,1,down_niche,turkiye,creation,52,17,0,8
19,4,4,false,1,down_niche,turkiye,creation,47,13,0,10
32,0,20,false,1,down_niche,turkiye,creation,47,11,0,8
16,7,3,false,1,down_niche,turkiye,creation,56,12,0,6
4,10,1,false,1,down_niche,turkiye,creation,60,8,0,6
15,5,1,false,1,down_niche,turkiye,creation,94,6,0,15
11,3,2,false,1,down_niche,turkiye,creation,36,1,0,3
36,4,1,false,1,down_niche,turkiye,creation,72,0,0,8
17,6,4,false,1,atn_empiricalbm,turkiye,creation,89,0,10,0
20,6,0,false,1,atn_empiricalbm,turkiye,creation,114,5,19,0
29,0,17,false,1,atn_empiricalbm,turkiye,creation,87,10,36,0
34,0,3,false,1,atn_empiricalbm,turkiye,creation,76,16,15,0
7,5,0,false,1,atn_empiricalbm,turkiye,creation,66,10,6,0
2,7,0,false,1,atn_empiricalbm,turkiye,creation,70,27,36,0
23,8,0,false,1,atn_empiricalbm,turkiye,creation,62,27,10,0
40,6,3,false,1,atn_empiricalbm,turkiye,creation,83,36,19,0
12,6,0,false,1,atn_empiricalbm,turkiye,creation,76,43,19,0
18,5,0,false,1,atn_empiricalbm,turkiye,creation,47,42,10,0
13,6,0,false,1,atn_empiricalbm,turkiye,creation,48,28,6,0
9,7,0,false,1,atn_empiricalbm,turkiye,creation,58,50,15,0
24,5,0,false,1,atn_empiricalbm,turkiye,creation,56,36,15,0
10,5,0,false,1,atn_empiricalbm,turkiye,creation,50,42,15,0
22,4,2,false,1,atn_empiricalbm,turkiye,creation,80,59,38,45
26,0,3,false,1,atn_empiricalbm,turkiye,creation,42,66,15,0
3,9,0,false,1,atn_empiricalbm,turkiye,creation,31,31,21,22
5,4,0,false,1,atn_empiricalbm,turkiye,creation,33,56,6,4
30,0,23,false,1,atn_empiricalbm,turkiye,creation,30,59,6,4
31,0,17,false,1,atn_empiricalbm,turkiye,creation,26,82,15,0
28,0,9,false,1,atn_empiricalbm,turkiye,creation,24,68,15,0
38,4,23,false,1,atn_empiricalbm,turkiye,creation,13,36,6,16
37,2,17,false,1,atn_empiricalbm,turkiye,creation,24,72,15,13
8,7,0,false,1,atn_empiricalbm,turkiye,creation,18,71,6,4
35,0,5,false,1,atn_empiricalbm,turkiye,creation,19,100,15,4
25,7,0,false,1,atn_empiricalbm,turkiye,creation,3,0,9,0
33,0,0,false,1,atn_empiricalbm,turkiye,creation,4,6,11,12
41,6,0,false,1,atn_empiricalbm,turkiye,creation,18,18,12,31
27,0,5,false,1,atn_empiricalbm,turkiye,creation,102,30,7,72
21,6,0,false,1,atn_empiricalbm,turkiye,creation,231,22,3,114
39,6,17,false,1,atn_empiricalbm,turkiye,creation,136,0,0,91
14,6,0,false,1,atn_empiricalbm,turkiye,creation,3,0,0,23
6,9,0,false,1,atn_empiricalbm,turkiye,creation,0,0,0,0
1,5,0,false,1,atn_empiricalbm,turkiye,creation,3,0,3,6
19,5,0,false,1,atn_empiricalbm,turkiye,creation,4,6,3,20
32,0,3,false,1,atn_empiricalbm,turkiye,creation,18,18,3,40
16,6,0,false,1,atn_empiricalbm,turkiye,creation,102,34,1,79
4,6,0,false,1,atn_empiricalbm,turkiye,creation,237,28,0,123
15,6,14,false,1,atn_empiricalbm,turkiye,creation,158,6,0,106
11,4,0,false,1,atn_empiricalbm,turkiye,creation,55,4,0,38
36,0,9,false,1,atn_empiricalbm,turkiye,creation,92,0,0,15
17,8,1,true,1,metaweb_empiricalbm,turkiye,creation,0,0,0,0
20,8,7,true,1,metaweb_empiricalbm,turkiye,creation,0,0,0,0
29,0,27,true,1,metaweb_empiricalbm,turkiye,creation,0,0,0,0
34,8,1,true,1,metaweb_empiricalbm,turkiye,creation,0,0,0,0
7,8,6,true,1,metaweb_empiricalbm,turkiye,creation,0,0,0,0
2,19,3,false,1,metaweb_empiricalbm,turkiye,creation,192,0,28,0
23,8,6,false,1,metaweb_empiricalbm,turkiye,creation,184,8,28,0
40,8,1,false,1,metaweb_empiricalbm,turkiye,creation,176,16,28,0
12,8,7,false,1,metaweb_empiricalbm,turkiye,creation,168,24,28,0
18,8,6,false,1,metaweb_empiricalbm,turkiye,creation,160,32,28,0
13,8,1,false,1,metaweb_empiricalbm,turkiye,creation,152,40,28,0
