net_id,net_type,stage,S4_C1,S4_R1,S4_C2
1,atn_nestedbm,creation,3,9,38
1,atn_nestedbm,creation,3,9,39
1,atn_nestedbm,creation,3,10,15
1,atn_nestedbm,creation,3,10,30
1,atn_nestedbm,creation,3,10,31
1,atn_nestedbm,creation,3,10,38
1,atn_nestedbm,creation,3,10,39
1,atn_nestedbm,creation,3,11,30
1,atn_nestedbm,creation,3,11,38
1,atn_nestedbm,creation,3,12,30
1,atn_nestedbm,creation,3,12,31
1,atn_nestedbm,creation,3,12,38
1,atn_nestedbm,creation,3,12,39
1,atn_nestedbm,creation,3,13,30
1,atn_nestedbm,creation,3,13,38
1,atn_nestedbm,creation,3,14,30
1,atn_nestedbm,creation,3,14,38
1,atn_nestedbm,creation,3,15,18
1,atn_nestedbm,creation,3,15,19
1,atn_nestedbm,creation,3,15,23
1,atn_nestedbm,creation,3,15,24
1,atn_nestedbm,creation,3,15,25
1,atn_nestedbm,creation,3,16,30
1,atn_nestedbm,creation,3,16,31
1,atn_nestedbm,creation,3,16,38
1,atn_nestedbm,creation,3,16,39
1,atn_nestedbm,creation,3,17,23
1,atn_nestedbm,creation,3,18,30
1,atn_nestedbm,creation,3,18,31
1,atn_nestedbm,creation,3,18,38
1,atn_nestedbm,creation,3,18,39
1,atn_nestedbm,creation,3,19,30
1,atn_nestedbm,creation,3,19,31
1,atn_nestedbm,creation,3,19,38
1,atn_nestedbm,creation,3,19,39
1,atn_nestedbm,creation,3,20,30
1,atn_nestedbm,creation,3,20,31
1,atn_nestedbm,creation,3,20,38
1,atn_nestedbm,creation,3,20,39
1,atn_nestedbm,creation,3,21,30
1,atn_nestedbm,creation,3,21,38
1,atn_nestedbm,creation,3,23,30
1,atn_nestedbm,creation,3,23,31
1,atn_nestedbm,creation,3,23,32
1,atn_nestedbm,creation,3,23,38
1,atn_nestedbm,creation,3,23,39
1,atn_nestedbm,creation,3,23,40
1,atn_nestedbm,creation,3,24,30
1,atn_nestedbm,creation,3,24,31
1,atn_nestedbm,creation,3,24,38
1,atn_nestedbm,creation,3,24,39
1,atn_nestedbm,creation,3,25,30
